"period_id";"date";"type"
25002;"02_03_2016";"b"
12319;"03_03_2016";"c"
15144;"04_03_2016";"c"
7651;"05_03_2016";"b"
28226;"06_03_2016";"c"
27911;"07_03_2016";"a"
25640;"08_03_2016";"d"
5850;"09_03_2016";"b"
3064;"10_03_2016";"b"
21713;"11_03_2016";"c"
8890;"12_03_2016";"b"
3529;"13_03_2016";"a"
16489;"14_03_2016";"c"
16049;"15_03_2016";"b"
19906;"16_03_2016";"a"
8235;"17_03_2016";"b"
21821;"18_03_2016";"b"
2769;"19_03_2016";"c"
23974;"20_03_2016";"c"
27604;"21_03_2016";"c"
2927;"22_03_2016";"c"
3564;"23_03_2016";"a"
18914;"24_03_2016";"d"
1665;"25_03_2016";"d"
4732;"26_03_2016";"b"
9318;"27_03_2016";"c"
7623;"28_03_2016";"c"
25351;"29_03_2016";"b"
944;"30_03_2016";"c"
22853;"31_03_2016";"d"
4802;"01_04_2016";"b"
15011;"02_04_2016";"d"
12813;"03_04_2016";"b"
21909;"04_04_2016";"a"
3718;"05_04_2016";"c"
24882;"06_04_2016";"d"
14161;"07_04_2016";"a"
18022;"08_04_2016";"d"
10622;"09_04_2016";"d"
9573;"10_04_2016";"a"
29081;"11_04_2016";"b"
10856;"12_04_2016";"c"
7145;"13_04_2016";"b"
22524;"14_04_2016";"c"
20750;"15_04_2016";"b"
2964;"16_04_2016";"a"
9648;"17_04_2016";"b"
16424;"18_04_2016";"c"
20030;"19_04_2016";"b"
20858;"20_04_2016";"b"
10696;"21_04_2016";"b"
2308;"22_04_2016";"a"
29687;"23_04_2016";"d"
18662;"24_04_2016";"b"
9700;"25_04_2016";"b"
24937;"26_04_2016";"a"
19912;"27_04_2016";"a"
28034;"28_04_2016";"a"
19813;"29_04_2016";"b"
2156;"30_04_2016";"b"
16183;"01_05_2016";"c"
21348;"02_05_2016";"d"
713;"03_05_2016";"d"
6791;"04_05_2016";"c"
3977;"05_05_2016";"b"
17751;"06_05_2016";"d"
9571;"07_05_2016";"c"
4351;"08_05_2016";"b"
17656;"09_05_2016";"b"
16258;"10_05_2016";"b"
2515;"11_05_2016";"d"
20002;"12_05_2016";"b"
27668;"13_05_2016";"c"
14313;"14_05_2016";"a"
1962;"15_05_2016";"a"
13888;"16_05_2016";"c"
22787;"17_05_2016";"d"
18670;"18_05_2016";"a"
9936;"19_05_2016";"d"
10202;"20_05_2016";"c"
774;"21_05_2016";"c"
14101;"22_05_2016";"d"
8868;"23_05_2016";"d"
11025;"24_05_2016";"c"
23758;"25_05_2016";"d"
6208;"26_05_2016";"c"
12513;"27_05_2016";"d"
29523;"28_05_2016";"b"
2756;"29_05_2016";"a"
26366;"30_05_2016";"a"
9382;"31_05_2016";"d"
21688;"01_06_2016";"a"
15385;"02_06_2016";"b"
8847;"03_06_2016";"a"
28765;"04_06_2016";"b"
3044;"05_06_2016";"b"
10745;"06_06_2016";"d"
28150;"07_06_2016";"d"
27183;"08_06_2016";"d"
25641;"09_06_2016";"c"
10709;"10_06_2016";"d"
25869;"11_06_2016";"c"
9845;"12_06_2016";"a"
23316;"13_06_2016";"d"
10198;"14_06_2016";"b"
3663;"15_06_2016";"c"
27368;"16_06_2016";"d"
21798;"17_06_2016";"a"
20293;"18_06_2016";"a"
1210;"19_06_2016";"b"
1917;"20_06_2016";"a"
17803;"21_06_2016";"d"
24081;"22_06_2016";"d"
28665;"23_06_2016";"b"
4367;"24_06_2016";"c"
27982;"25_06_2016";"b"
26014;"26_06_2016";"c"
26208;"27_06_2016";"d"
26530;"28_06_2016";"a"
3307;"29_06_2016";"c"
17106;"30_06_2016";"a"
24549;"01_07_2016";"c"
21069;"02_07_2016";"d"
6315;"03_07_2016";"d"
24516;"04_07_2016";"a"
226;"05_07_2016";"b"
1349;"06_07_2016";"d"
4995;"07_07_2016";"c"
1042;"08_07_2016";"c"
15051;"09_07_2016";"b"
9048;"10_07_2016";"b"
7062;"11_07_2016";"a"
5648;"12_07_2016";"c"
18677;"13_07_2016";"d"
20924;"14_07_2016";"d"
2643;"15_07_2016";"a"
3362;"16_07_2016";"c"
28635;"17_07_2016";"c"
15933;"18_07_2016";"b"
14480;"19_07_2016";"a"
14975;"20_07_2016";"b"
6047;"21_07_2016";"c"
18756;"22_07_2016";"b"
10433;"23_07_2016";"d"
1077;"24_07_2016";"a"
25766;"25_07_2016";"c"
5605;"26_07_2016";"c"
17451;"27_07_2016";"c"
25025;"28_07_2016";"d"
28125;"29_07_2016";"b"
6216;"30_07_2016";"c"
8081;"31_07_2016";"c"
21034;"01_08_2016";"b"
12763;"02_08_2016";"b"
3092;"03_08_2016";"a"
18290;"04_08_2016";"b"
619;"05_08_2016";"d"
13770;"06_08_2016";"b"
18509;"07_08_2016";"c"
16171;"08_08_2016";"a"
2304;"09_08_2016";"c"
27283;"10_08_2016";"a"
21670;"11_08_2016";"d"
4247;"12_08_2016";"c"
23333;"13_08_2016";"d"
16690;"14_08_2016";"c"
25395;"15_08_2016";"b"
12499;"16_08_2016";"c"
6325;"17_08_2016";"c"
10489;"18_08_2016";"b"
28255;"19_08_2016";"c"
1037;"20_08_2016";"c"
5502;"21_08_2016";"a"
15331;"22_08_2016";"c"
18833;"23_08_2016";"c"
29925;"24_08_2016";"c"
23029;"25_08_2016";"b"
24802;"26_08_2016";"d"
23308;"27_08_2016";"a"
1582;"28_08_2016";"a"
21476;"29_08_2016";"b"
20873;"30_08_2016";"d"
24894;"31_08_2016";"b"
26393;"01_09_2016";"d"
3236;"02_09_2016";"c"
9486;"03_09_2016";"c"
18486;"04_09_2016";"b"
18624;"05_09_2016";"a"
12871;"06_09_2016";"d"
7658;"07_09_2016";"b"
19228;"08_09_2016";"d"
12451;"09_09_2016";"d"
10681;"10_09_2016";"b"
23425;"11_09_2016";"c"
3613;"12_09_2016";"c"
6226;"13_09_2016";"d"
14518;"14_09_2016";"b"
12837;"15_09_2016";"b"
3034;"16_09_2016";"d"
27586;"17_09_2016";"a"
25571;"18_09_2016";"b"
14243;"19_09_2016";"a"
22346;"20_09_2016";"b"
25417;"21_09_2016";"b"
3306;"22_09_2016";"a"
15485;"23_09_2016";"a"
8369;"24_09_2016";"b"
25004;"25_09_2016";"c"
9297;"26_09_2016";"d"
17884;"27_09_2016";"b"
13828;"28_09_2016";"d"
22837;"29_09_2016";"c"
1426;"30_09_2016";"c"
20006;"01_10_2016";"d"
19199;"02_10_2016";"d"
25895;"03_10_2016";"a"
29428;"04_10_2016";"c"
5171;"05_10_2016";"b"
628;"06_10_2016";"b"
22680;"07_10_2016";"d"
16275;"08_10_2016";"d"
9336;"09_10_2016";"d"
4408;"10_10_2016";"c"
7119;"11_10_2016";"c"
24995;"12_10_2016";"a"
7634;"13_10_2016";"d"
2600;"14_10_2016";"b"
17504;"15_10_2016";"d"
12990;"16_10_2016";"a"
3550;"17_10_2016";"c"
5706;"18_10_2016";"d"
25335;"19_10_2016";"d"
28256;"20_10_2016";"a"
3456;"21_10_2016";"d"
2701;"22_10_2016";"a"
20265;"23_10_2016";"d"
18253;"24_10_2016";"c"
23080;"25_10_2016";"d"
6669;"26_10_2016";"d"
12935;"27_10_2016";"b"
26136;"28_10_2016";"a"
872;"29_10_2016";"d"
27618;"30_10_2016";"a"
24673;"31_10_2016";"b"
18245;"01_11_2016";"d"
2818;"02_11_2016";"b"
4893;"03_11_2016";"c"
6411;"04_11_2016";"d"
23901;"05_11_2016";"b"
9285;"06_11_2016";"a"
11952;"07_11_2016";"d"
23955;"08_11_2016";"b"
28165;"09_11_2016";"c"
22592;"10_11_2016";"a"
5309;"11_11_2016";"d"
16211;"12_11_2016";"b"
20651;"13_11_2016";"a"
25642;"14_11_2016";"b"
22827;"15_11_2016";"b"
13495;"16_11_2016";"b"
28100;"17_11_2016";"b"
5117;"18_11_2016";"b"
27938;"19_11_2016";"c"
468;"20_11_2016";"c"
28396;"21_11_2016";"c"
17012;"22_11_2016";"a"
2255;"23_11_2016";"d"
808;"24_11_2016";"c"
1041;"25_11_2016";"b"
13933;"26_11_2016";"a"
8114;"27_11_2016";"a"
21707;"28_11_2016";"c"
16116;"29_11_2016";"d"
23513;"30_11_2016";"a"
14405;"01_12_2016";"d"
27051;"02_12_2016";"c"
10008;"03_12_2016";"b"
5816;"04_12_2016";"c"
22284;"05_12_2016";"b"
14379;"06_12_2016";"b"
2184;"07_12_2016";"c"
2549;"08_12_2016";"b"
8124;"09_12_2016";"d"
6295;"10_12_2016";"a"
1238;"11_12_2016";"c"
17635;"12_12_2016";"d"
3545;"13_12_2016";"b"
29521;"14_12_2016";"a"
9906;"15_12_2016";"a"
3461;"16_12_2016";"a"
19350;"17_12_2016";"b"
15648;"18_12_2016";"c"
18998;"19_12_2016";"d"
24712;"20_12_2016";"a"
21948;"21_12_2016";"a"
6372;"22_12_2016";"a"
10726;"23_12_2016";"c"
14660;"24_12_2016";"c"
11955;"25_12_2016";"d"
29249;"26_12_2016";"b"
3317;"27_12_2016";"a"
10428;"28_12_2016";"b"
29089;"29_12_2016";"d"
19924;"30_12_2016";"c"
2626;"31_12_2016";"a"
22363;"01_01_2017";"c"
13074;"02_01_2017";"d"
13617;"03_01_2017";"a"
28843;"04_01_2017";"a"
8536;"05_01_2017";"a"
26823;"06_01_2017";"b"
15175;"07_01_2017";"b"
14281;"08_01_2017";"d"
7940;"09_01_2017";"b"
14640;"10_01_2017";"d"
22067;"11_01_2017";"b"
9680;"12_01_2017";"b"
6184;"13_01_2017";"b"
15792;"14_01_2017";"b"
29421;"15_01_2017";"a"
13682;"16_01_2017";"a"
950;"17_01_2017";"a"
20513;"18_01_2017";"d"
17272;"19_01_2017";"b"
15537;"20_01_2017";"b"
18966;"21_01_2017";"b"
29316;"22_01_2017";"a"
16132;"23_01_2017";"a"
4365;"24_01_2017";"c"
29686;"25_01_2017";"a"
27524;"26_01_2017";"b"
21603;"27_01_2017";"a"
13248;"28_01_2017";"a"
12718;"29_01_2017";"a"
1343;"30_01_2017";"b"
6305;"31_01_2017";"d"
14882;"01_02_2017";"a"
29481;"02_02_2017";"a"
6056;"03_02_2017";"c"
1999;"04_02_2017";"d"
768;"05_02_2017";"d"
12365;"06_02_2017";"b"
14991;"07_02_2017";"a"
27922;"08_02_2017";"a"
3870;"09_02_2017";"b"
2528;"10_02_2017";"b"
23915;"11_02_2017";"b"
21061;"12_02_2017";"d"
14194;"13_02_2017";"d"
9302;"14_02_2017";"a"
10828;"15_02_2017";"b"
24016;"16_02_2017";"a"
28690;"17_02_2017";"a"
21749;"18_02_2017";"a"
24118;"19_02_2017";"b"
27293;"20_02_2017";"c"
15872;"21_02_2017";"d"
12493;"22_02_2017";"c"
16865;"23_02_2017";"c"
5245;"24_02_2017";"b"
3618;"25_02_2017";"d"
23672;"26_02_2017";"b"
17191;"27_02_2017";"b"
12500;"28_02_2017";"c"
10833;"01_03_2017";"a"
1012;"02_03_2017";"c"
17450;"03_03_2017";"c"
13746;"04_03_2017";"d"
27539;"05_03_2017";"c"
7542;"06_03_2017";"d"
11217;"07_03_2017";"d"
12147;"08_03_2017";"c"
14512;"09_03_2017";"a"
5439;"10_03_2017";"a"
27313;"11_03_2017";"b"
14024;"12_03_2017";"d"
644;"13_03_2017";"d"
16808;"14_03_2017";"c"
24859;"15_03_2017";"b"
4267;"16_03_2017";"b"
28670;"17_03_2017";"b"
24283;"18_03_2017";"c"
5299;"19_03_2017";"b"
17147;"20_03_2017";"b"
27133;"21_03_2017";"d"
19945;"22_03_2017";"b"
2427;"23_03_2017";"d"
22786;"24_03_2017";"d"
1149;"25_03_2017";"d"
29023;"26_03_2017";"d"
10955;"27_03_2017";"a"
3769;"28_03_2017";"c"
7286;"29_03_2017";"d"
4745;"30_03_2017";"d"
19278;"31_03_2017";"c"
9448;"01_04_2017";"b"
12248;"02_04_2017";"a"
15339;"03_04_2017";"c"
600;"04_04_2017";"b"
10283;"05_04_2017";"a"
21574;"06_04_2017";"c"
12919;"07_04_2017";"a"
13019;"08_04_2017";"a"
15491;"09_04_2017";"d"
3358;"10_04_2017";"b"
7463;"11_04_2017";"b"
20210;"12_04_2017";"b"
15769;"13_04_2017";"b"
8705;"14_04_2017";"b"
6850;"15_04_2017";"d"
19234;"16_04_2017";"c"
24366;"17_04_2017";"b"
22655;"18_04_2017";"a"
3823;"19_04_2017";"c"
3752;"20_04_2017";"c"
25872;"21_04_2017";"b"
28345;"22_04_2017";"b"
12701;"23_04_2017";"d"
15017;"24_04_2017";"c"
14403;"25_04_2017";"b"
10151;"26_04_2017";"b"
26126;"27_04_2017";"c"
5933;"28_04_2017";"d"
15366;"29_04_2017";"c"
3096;"30_04_2017";"d"
20029;"01_05_2017";"b"
11410;"02_05_2017";"b"
14585;"03_05_2017";"a"
13601;"04_05_2017";"b"
7621;"05_05_2017";"c"
28645;"06_05_2017";"b"
26451;"07_05_2017";"a"
24884;"08_05_2017";"b"
18586;"09_05_2017";"c"
7488;"10_05_2017";"a"
1774;"11_05_2017";"c"
28902;"12_05_2017";"a"
241;"13_05_2017";"b"
11310;"14_05_2017";"d"
18660;"15_05_2017";"b"
5172;"16_05_2017";"a"
20103;"17_05_2017";"b"
1617;"18_05_2017";"d"
11557;"19_05_2017";"b"
28074;"20_05_2017";"d"
19175;"21_05_2017";"c"
7346;"22_05_2017";"a"
9164;"23_05_2017";"a"
15976;"24_05_2017";"d"
21075;"25_05_2017";"a"
27885;"26_05_2017";"b"
13803;"27_05_2017";"c"
13866;"28_05_2017";"a"
11048;"29_05_2017";"a"
19818;"30_05_2017";"a"
16535;"31_05_2017";"c"
22435;"01_06_2017";"c"
730;"02_06_2017";"b"
28454;"03_06_2017";"b"
2891;"04_06_2017";"a"
2876;"05_06_2017";"d"
29395;"06_06_2017";"c"
5734;"07_06_2017";"a"
6126;"08_06_2017";"d"
21074;"09_06_2017";"b"
434;"10_06_2017";"b"
1096;"11_06_2017";"a"
9568;"12_06_2017";"d"
7193;"13_06_2017";"b"
28910;"14_06_2017";"d"
10867;"15_06_2017";"a"
5311;"16_06_2017";"b"
7348;"17_06_2017";"b"
11974;"18_06_2017";"c"
21500;"19_06_2017";"d"
12207;"20_06_2017";"a"
12077;"21_06_2017";"a"
8161;"22_06_2017";"d"
4238;"23_06_2017";"b"
5992;"24_06_2017";"a"
27416;"25_06_2017";"b"
21053;"26_06_2017";"a"
1521;"27_06_2017";"a"
14294;"28_06_2017";"b"
23925;"29_06_2017";"b"
9411;"30_06_2017";"d"
15395;"01_07_2017";"c"
21897;"02_07_2017";"b"
25186;"03_07_2017";"d"
13660;"04_07_2017";"d"
21568;"05_07_2017";"d"
18262;"06_07_2017";"d"
15729;"07_07_2017";"a"
20270;"08_07_2017";"d"
11315;"09_07_2017";"c"
16117;"10_07_2017";"a"
10074;"11_07_2017";"c"
3672;"12_07_2017";"c"
12155;"13_07_2017";"a"
23341;"14_07_2017";"b"
15852;"15_07_2017";"d"
1620;"16_07_2017";"c"
10865;"17_07_2017";"a"
6814;"18_07_2017";"c"
25394;"19_07_2017";"a"
25652;"20_07_2017";"b"
8550;"21_07_2017";"d"
2242;"22_07_2017";"a"
23447;"23_07_2017";"b"
2896;"24_07_2017";"d"
14132;"25_07_2017";"a"
25502;"26_07_2017";"d"
16158;"27_07_2017";"b"
83;"28_07_2017";"d"
13164;"29_07_2017";"d"
11348;"30_07_2017";"d"
4059;"31_07_2017";"b"
20162;"01_08_2017";"c"
4562;"02_08_2017";"d"
23247;"03_08_2017";"b"
1693;"04_08_2017";"d"
10798;"05_08_2017";"d"
22433;"06_08_2017";"d"
17988;"07_08_2017";"d"
28427;"08_08_2017";"b"
26829;"09_08_2017";"d"
29140;"10_08_2017";"d"
11116;"11_08_2017";"d"
185;"12_08_2017";"d"
29364;"13_08_2017";"a"
20336;"14_08_2017";"a"
17681;"15_08_2017";"c"
19075;"16_08_2017";"b"
19165;"17_08_2017";"d"
22381;"18_08_2017";"b"
5618;"19_08_2017";"a"
29037;"20_08_2017";"d"
4502;"21_08_2017";"b"
16236;"22_08_2017";"b"
5119;"23_08_2017";"c"
22789;"24_08_2017";"d"
14917;"25_08_2017";"b"
11767;"26_08_2017";"a"
10593;"27_08_2017";"b"
2742;"28_08_2017";"d"
29059;"29_08_2017";"d"
15533;"30_08_2017";"b"
5936;"31_08_2017";"b"
10341;"01_09_2017";"b"
16659;"02_09_2017";"a"
7959;"03_09_2017";"a"
9242;"04_09_2017";"d"
13483;"05_09_2017";"c"
17915;"06_09_2017";"c"
29526;"07_09_2017";"b"
20550;"08_09_2017";"b"
16121;"09_09_2017";"b"
3165;"10_09_2017";"a"
29746;"11_09_2017";"d"
9779;"12_09_2017";"d"
14222;"13_09_2017";"b"
24110;"14_09_2017";"c"
25717;"15_09_2017";"a"
28514;"16_09_2017";"c"
21171;"17_09_2017";"b"
12187;"18_09_2017";"d"
2731;"19_09_2017";"d"
27567;"20_09_2017";"a"
11576;"21_09_2017";"c"
25930;"22_09_2017";"a"
16162;"23_09_2017";"c"
9600;"24_09_2017";"d"
697;"25_09_2017";"d"
23934;"26_09_2017";"d"
18851;"27_09_2017";"b"
19066;"28_09_2017";"a"
19159;"29_09_2017";"d"
28273;"30_09_2017";"a"
2093;"01_10_2017";"b"
2601;"02_10_2017";"d"
2374;"03_10_2017";"b"
17665;"04_10_2017";"c"
29312;"05_10_2017";"a"
10281;"06_10_2017";"d"
5545;"07_10_2017";"b"
11719;"08_10_2017";"c"
6201;"09_10_2017";"d"
11541;"10_10_2017";"a"
3185;"11_10_2017";"a"
19879;"12_10_2017";"b"
26343;"13_10_2017";"d"
10269;"14_10_2017";"d"
27840;"15_10_2017";"d"
19476;"16_10_2017";"b"
14215;"17_10_2017";"a"
13885;"18_10_2017";"d"
3167;"19_10_2017";"d"
7683;"20_10_2017";"b"
11086;"21_10_2017";"d"
18267;"22_10_2017";"a"
15638;"23_10_2017";"d"
25139;"24_10_2017";"c"
16685;"25_10_2017";"a"
7222;"26_10_2017";"d"
26642;"27_10_2017";"a"
3480;"28_10_2017";"b"
8164;"29_10_2017";"a"
2717;"30_10_2017";"d"
16037;"31_10_2017";"c"
16778;"01_11_2017";"b"
10959;"02_11_2017";"a"
27190;"03_11_2017";"a"
29862;"04_11_2017";"a"
27296;"05_11_2017";"b"
4249;"06_11_2017";"c"
14656;"07_11_2017";"b"
18930;"08_11_2017";"d"
8652;"09_11_2017";"c"
22730;"10_11_2017";"b"
18314;"11_11_2017";"d"
3374;"12_11_2017";"c"
8740;"13_11_2017";"b"
27884;"14_11_2017";"c"
13545;"15_11_2017";"d"
10459;"16_11_2017";"d"
4402;"17_11_2017";"c"
2713;"18_11_2017";"b"
23556;"19_11_2017";"c"
8156;"20_11_2017";"a"
24069;"21_11_2017";"c"
5296;"22_11_2017";"b"
11114;"23_11_2017";"a"
16102;"24_11_2017";"b"
16882;"25_11_2017";"b"
13969;"26_11_2017";"b"
8970;"27_11_2017";"d"
22122;"28_11_2017";"a"
11963;"29_11_2017";"c"
16475;"30_11_2017";"d"
7587;"01_12_2017";"b"
4385;"02_12_2017";"d"
5314;"03_12_2017";"b"
24314;"04_12_2017";"d"
29016;"05_12_2017";"d"
2084;"06_12_2017";"b"
16528;"07_12_2017";"a"
16331;"08_12_2017";"a"
4482;"09_12_2017";"c"
13988;"10_12_2017";"c"
16601;"11_12_2017";"b"
7465;"12_12_2017";"a"
20145;"13_12_2017";"b"
6544;"14_12_2017";"b"
24616;"15_12_2017";"c"
13893;"16_12_2017";"c"
8640;"17_12_2017";"d"
9350;"18_12_2017";"d"
8659;"19_12_2017";"d"
5223;"20_12_2017";"c"
27695;"21_12_2017";"c"
21553;"22_12_2017";"c"
21237;"23_12_2017";"c"
1765;"24_12_2017";"a"
28847;"25_12_2017";"c"
23035;"26_12_2017";"a"
22146;"27_12_2017";"b"
6075;"28_12_2017";"d"
26483;"29_12_2017";"d"
25124;"30_12_2017";"c"
2548;"31_12_2017";"c"
8305;"01_01_2018";"c"
20672;"02_01_2018";"b"
16130;"03_01_2018";"d"
24850;"04_01_2018";"b"
4373;"05_01_2018";"d"
9833;"06_01_2018";"b"
18791;"07_01_2018";"c"
5403;"08_01_2018";"d"
3636;"09_01_2018";"b"
3656;"10_01_2018";"b"
20919;"11_01_2018";"b"
17650;"12_01_2018";"d"
4992;"13_01_2018";"c"
26099;"14_01_2018";"d"
11327;"15_01_2018";"d"
27669;"16_01_2018";"b"
4547;"17_01_2018";"a"
21990;"18_01_2018";"b"
10519;"19_01_2018";"b"
26654;"20_01_2018";"a"
20884;"21_01_2018";"c"
17919;"22_01_2018";"d"
17945;"23_01_2018";"a"
12103;"24_01_2018";"d"
20077;"25_01_2018";"d"
2882;"26_01_2018";"d"
16945;"27_01_2018";"c"
16031;"28_01_2018";"b"
15732;"29_01_2018";"b"
22685;"30_01_2018";"c"
8525;"31_01_2018";"c"
9795;"01_02_2018";"c"
5732;"02_02_2018";"d"
6255;"03_02_2018";"d"
27980;"04_02_2018";"b"
25949;"05_02_2018";"a"
10758;"06_02_2018";"b"
5219;"07_02_2018";"a"
18247;"08_02_2018";"d"
24109;"09_02_2018";"a"
6002;"10_02_2018";"b"
9393;"11_02_2018";"d"
28082;"12_02_2018";"a"
14262;"13_02_2018";"c"
28331;"14_02_2018";"d"
13179;"15_02_2018";"a"
4471;"16_02_2018";"d"
23643;"17_02_2018";"d"
29572;"18_02_2018";"b"
28214;"19_02_2018";"d"
2283;"20_02_2018";"c"
12497;"21_02_2018";"d"
1168;"22_02_2018";"c"
16302;"23_02_2018";"c"
16046;"24_02_2018";"b"
20080;"25_02_2018";"c"
24762;"26_02_2018";"d"
14904;"27_02_2018";"c"
11689;"28_02_2018";"b"
11246;"01_03_2018";"c"
16898;"02_03_2018";"b"
25130;"03_03_2018";"d"
2883;"04_03_2018";"a"
4269;"05_03_2018";"c"
5137;"06_03_2018";"c"
15285;"07_03_2018";"a"
7289;"08_03_2018";"a"
1604;"09_03_2018";"a"
10142;"10_03_2018";"d"
25991;"11_03_2018";"b"
18072;"12_03_2018";"c"
18338;"13_03_2018";"d"
998;"14_03_2018";"c"
13316;"15_03_2018";"c"
110;"16_03_2018";"c"
11588;"17_03_2018";"b"
16299;"18_03_2018";"c"
21445;"19_03_2018";"d"
8092;"20_03_2018";"c"
15472;"21_03_2018";"a"
27358;"22_03_2018";"c"
17181;"23_03_2018";"a"
7076;"24_03_2018";"a"
18583;"25_03_2018";"b"
15280;"26_03_2018";"c"
7765;"27_03_2018";"c"
21418;"28_03_2018";"a"
13406;"29_03_2018";"a"
10556;"30_03_2018";"a"
19857;"31_03_2018";"c"
20956;"01_04_2018";"d"
22550;"02_04_2018";"c"
1986;"03_04_2018";"b"
9279;"04_04_2018";"a"
27118;"05_04_2018";"a"
413;"06_04_2018";"c"
9205;"07_04_2018";"b"
8990;"08_04_2018";"d"
26720;"09_04_2018";"a"
2649;"10_04_2018";"a"
23008;"11_04_2018";"c"
9536;"12_04_2018";"c"
25634;"13_04_2018";"c"
23147;"14_04_2018";"d"
19929;"15_04_2018";"a"
16757;"16_04_2018";"b"
3592;"17_04_2018";"b"
7835;"18_04_2018";"c"
15295;"19_04_2018";"c"
6364;"20_04_2018";"c"
1794;"21_04_2018";"c"
22522;"22_04_2018";"d"
27966;"23_04_2018";"c"
20958;"24_04_2018";"d"
13800;"25_04_2018";"d"
9457;"26_04_2018";"c"
4939;"27_04_2018";"b"
1281;"28_04_2018";"a"
24704;"29_04_2018";"a"
1354;"30_04_2018";"c"
8769;"01_05_2018";"d"
1246;"02_05_2018";"d"
26011;"03_05_2018";"d"
15392;"04_05_2018";"b"
13504;"05_05_2018";"c"
28912;"06_05_2018";"c"
11089;"07_05_2018";"c"
28705;"08_05_2018";"b"
26782;"09_05_2018";"b"
29998;"10_05_2018";"d"
4116;"11_05_2018";"a"
26835;"12_05_2018";"d"
21736;"13_05_2018";"d"
20647;"14_05_2018";"a"
17006;"15_05_2018";"d"
14103;"16_05_2018";"a"
5503;"17_05_2018";"a"
4988;"18_05_2018";"a"
24921;"19_05_2018";"a"
22598;"20_05_2018";"c"
21479;"21_05_2018";"c"
20201;"22_05_2018";"c"
18979;"23_05_2018";"a"
28364;"24_05_2018";"a"
97;"25_05_2018";"d"
13994;"26_05_2018";"d"
12134;"27_05_2018";"b"
142;"28_05_2018";"c"
14986;"29_05_2018";"c"
12568;"30_05_2018";"a"
18221;"31_05_2018";"c"
12834;"01_06_2018";"b"
24603;"02_06_2018";"a"
15040;"03_06_2018";"c"
19255;"04_06_2018";"d"
2480;"05_06_2018";"d"
14964;"06_06_2018";"d"
9039;"07_06_2018";"c"
26076;"08_06_2018";"d"
2746;"09_06_2018";"d"
28895;"10_06_2018";"b"
13318;"11_06_2018";"d"
1775;"12_06_2018";"b"
15796;"13_06_2018";"c"
7805;"14_06_2018";"c"
28767;"15_06_2018";"d"
12272;"16_06_2018";"a"
2931;"17_06_2018";"a"
29190;"18_06_2018";"d"
11209;"19_06_2018";"a"
27234;"20_06_2018";"a"
4019;"21_06_2018";"d"
3115;"22_06_2018";"a"
6272;"23_06_2018";"c"
5825;"24_06_2018";"d"
24029;"25_06_2018";"b"
11997;"26_06_2018";"b"
23884;"27_06_2018";"c"
25853;"28_06_2018";"c"
18963;"29_06_2018";"d"
2104;"30_06_2018";"d"
17890;"01_07_2018";"b"
14037;"02_07_2018";"b"
12614;"03_07_2018";"c"
28924;"04_07_2018";"c"
529;"05_07_2018";"d"
26342;"06_07_2018";"c"
15642;"07_07_2018";"c"
24598;"08_07_2018";"b"
24574;"09_07_2018";"a"
6942;"10_07_2018";"b"
24878;"11_07_2018";"c"
24090;"12_07_2018";"b"
14165;"13_07_2018";"c"
8887;"14_07_2018";"a"
28397;"15_07_2018";"d"
7796;"16_07_2018";"a"
4777;"17_07_2018";"d"
6003;"18_07_2018";"d"
24778;"19_07_2018";"d"
3937;"20_07_2018";"b"
23095;"21_07_2018";"c"
26578;"22_07_2018";"b"
7269;"23_07_2018";"b"
8668;"24_07_2018";"a"
22911;"25_07_2018";"b"
11416;"26_07_2018";"d"
19839;"27_07_2018";"c"
2055;"28_07_2018";"c"
21277;"29_07_2018";"d"
11129;"30_07_2018";"a"
8330;"31_07_2018";"b"
16542;"01_08_2018";"c"
23183;"02_08_2018";"d"
2051;"03_08_2018";"b"
29949;"04_08_2018";"c"
23382;"05_08_2018";"a"
377;"06_08_2018";"a"
5922;"07_08_2018";"a"
545;"08_08_2018";"c"
4996;"09_08_2018";"c"
19196;"10_08_2018";"b"
21136;"11_08_2018";"b"
28281;"12_08_2018";"a"
28769;"13_08_2018";"a"
21160;"14_08_2018";"c"
9767;"15_08_2018";"b"
14672;"16_08_2018";"a"
6703;"17_08_2018";"d"
4656;"18_08_2018";"c"
12407;"19_08_2018";"b"
23772;"20_08_2018";"d"
22385;"21_08_2018";"b"
13396;"22_08_2018";"d"
9652;"23_08_2018";"c"
18718;"24_08_2018";"a"
21577;"25_08_2018";"d"
21095;"26_08_2018";"c"
20337;"27_08_2018";"d"
25204;"28_08_2018";"b"
3508;"29_08_2018";"b"
7558;"30_08_2018";"a"
28039;"31_08_2018";"b"
7060;"01_09_2018";"c"
21439;"02_09_2018";"b"
24809;"03_09_2018";"b"
20209;"04_09_2018";"d"
4193;"05_09_2018";"d"
11826;"06_09_2018";"a"
25861;"07_09_2018";"b"
17425;"08_09_2018";"a"
12838;"09_09_2018";"a"
11586;"10_09_2018";"d"
9884;"11_09_2018";"a"
17931;"12_09_2018";"d"
11585;"13_09_2018";"d"
1108;"14_09_2018";"d"
8470;"15_09_2018";"d"
22952;"16_09_2018";"d"
17795;"17_09_2018";"b"
18771;"18_09_2018";"b"
18991;"19_09_2018";"c"
13751;"20_09_2018";"a"
7017;"21_09_2018";"d"
